Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0188294056308936,-0.00424042114001033,0.0640742409147315,0,0,0,31.0320339728617,0.565958898785793,-0.0151505883127099,0.0502324289297227,0.886935849980712,0.0113068755075638,1.32772548603042,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/base_link.STL,,chasis-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rwl_1,5.55111512312578E-17,-5.55111512312578E-17,-0.019892784140451,0,0,0,0.365524552938848,0.000322146824462347,-8.09674537746819E-20,-1.56492304462249E-20,0.000322146824462347,4.53082169817295E-21,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_1.STL,,wheel-4,Coordinate System2,Axis2,rwj_1,revolute,0.285,-0.274,0.05,1.5708,0,0,base_link,0,0,1,20,5,-3.142,3.142,,,,,,,,
lwl_1,-5.55111512312578E-17,5.55111512312578E-17,0.0188927841404509,0,0,0,0.365524552938848,0.000322146824462347,-9.82852608948411E-21,-3.42124149900002E-20,0.000322146824462347,7.20065742206241E-20,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_1.STL,,wheel-6,Coordinate System3,Axis3,lwj_1,revolute,0.285,0.273,0.05,1.5708,0,0,base_link,0,0,-1,20,5,-3.142,3.142,,,,,,,,
rwl_2,0,0,-0.0198927841404509,0,0,0,0.365524552938848,0.000322146824462348,4.17711733678562E-22,-2.36592215475959E-20,0.000322146824462347,-1.23407737259737E-22,0.000549435522875279,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_2.STL,,wheel-3,Coordinate System4,Axis4,rwj_2,revolute,0.095,-0.274,0.0499999999999998,1.5707963267949,0,0,base_link,0,0,1,20,5,-3.142,3.142,,,,,,,,
lwl_2,-5.55111512312578E-17,2.22044604925031E-16,0.018892784140451,0,0,0,0.365524552938848,0.000322146824462347,1.46937132839652E-20,-7.4253389579514E-20,0.000322146824462347,4.17880014772499E-20,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_2.STL,,wheel-8,Coordinate System7,Axis5,lwj_2,revolute,0.095,0.273,0.0499999999999998,1.5707963267949,0,0,base_link,0,0,-1,20,5,-3.142,3.142,,,,,,,,
rwl_3,6.93889390390723E-18,-5.55111512312578E-17,-0.019892784140451,0,0,0,0.365524552938848,0.000322146824462348,-1.62304834610031E-22,-1.2731733559271E-20,0.000322146824462348,2.03535873829037E-22,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_3.STL,,wheel-5,Coordinate System8,Axis6,rwj_3,revolute,-0.095,-0.274,0.0499999999999999,1.5707963267949,0,0,base_link,0,0,1,20,5,-3.142,3.142,,,,,,,,
lwl_3,-6.93889390390723E-17,2.22044604925031E-16,0.0188927841404511,0,0,0,0.365524552938848,0.000322146824462347,-2.24217455227932E-21,-2.28467036272142E-20,0.000322146824462347,4.56494090163496E-20,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_3.STL,,wheel-7,Coordinate System9,Axis7,lwj_3,revolute,-0.0949999999999999,0.273,0.0499999999999999,1.5707963267949,0,0,base_link,0,0,-1,20,5,-3.142,3.142,,,,,,,,
rwl_4,2.77555756156289E-17,-5.55111512312578E-17,-0.0198927841404509,0,0,0,0.365524552938848,0.000322146824462347,-8.12494296504006E-21,6.18409410860754E-21,0.000322146824462347,5.24692050943604E-21,0.000549435522875278,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/rwl_4.STL,,wheel-1,Coordinate System10,Axis8,rwj_4,revolute,-0.285,-0.274,0.0499999999999999,1.5707963267949,0,0,base_link,0,0,1,20,5,-3.142,3.142,,,,,,,,
lwl_4,-1.66533453693773E-16,2.22044604925031E-16,0.0188927841404508,0,0,0,0.365524552938848,0.000322146824462347,2.19601697798653E-20,-1.14802424331746E-20,0.000322146824462347,5.35385294899972E-20,0.000549435522875277,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/lwl_4.STL,,wheel-9,Coordinate System11,Axis9,lwj_4,revolute,-0.285,0.273,0.0499999999999999,1.5707963267949,0,0,base_link,0,0,-1,20,5,-3.142,3.142,,,,,,,,
robotichandbase_Link,0.46,0.0914369156086379,0.273,0,0,0,2.30055456196887,0.00675445543919116,9.95871935182872E-19,2.37960604275706E-11,0.0103948670468881,2.23587162465854E-18,0.00675445488587375,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/robotichandbase_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_Assembly_urdf/meshes/robotichandbase_Link.STL,,Base-1,Coordinate System11,Axis14,rhb_joint,revolute,-0.285,0.273,0.0499999999999999,1.5707963267949,0,0,base_link,0,1,0,30,2,-3.142,3.142,,,,,,,,
